wd_name,cluster,ra,dec,coord_source,gaiadr3,gaia_supported,logg,logg_err_plus,logg_err_minus,teff,teff_err_plus,teff_err_minus,spectrum_fit_source,mass,mass_err_plus,mass_err_minus,tcool,tcool_err_plus,tcool_err_minus,rad,rad_err_plus,rad_err_minus,prog_mass,prog_mass_err_plus,prog_mass_err_minus,ifmr_source,simbad_name,miller2026a_name,miller2026a_literature_name
Praesepe-WD-J085947+422112,Praesepe,134.946948,42.353526,gaiadr3,1008837274655408128,y,8.502,0.04,0.04,15170,515,515,2019MNRAS.482.5222T,0.93,0.03,0.03,450.0,50.0,40.0,6200,200,200,3.56,0.2,0.3,2026ApJ...996...69M,Gaia DR3 1008837274655408128,,US 2088
Praesepe-WD-J092713+475659,Praesepe,141.805961,47.949752,gaiadr3,825640117568825472,y,8.389,0.028,0.028,14648,318,318,2019MNRAS.482.5222T,0.855,0.018,0.018,400.0,30.0,20.0,6810,150,150,3.36,0.15,0.24,2026ApJ...996...69M,Gaia DR3  825640117568825472,,SDSS J092713.51+475659.6
Ruprecht147-WD-J191533-165249,Ruprecht 147,288.890744,-16.88045,gaiadr3,4087806832745520128,y,8.11,0.04,0.04,17850,250,250,2020NatAs...4.1102M,0.68,0.02,0.02,145.0,7.0,14.0,8400,200,200,1.59,0.02,0.07,2026ApJ...996...69M,Gaia DR3 4087806832745520128,Ruprecht 147 WD6,R147-WD01
Ruprecht147-WD-J191613-162013,Ruprecht 147,289.057206,-16.33702,gaiadr3,4183937688413579648,y,8.08,0.04,0.04,15900,200,200,2020NatAs...4.1102M,0.66,0.02,0.02,201.0,17.0,8.0,8500,200,200,1.6,0.03,0.07,2026ApJ...996...69M,Gaia DR3 4183937688413579648,Ruprecht 147 WD8,R147-WD07
Ruprecht147-WD-J191659-163121,Ruprecht 147,289.248918,-16.522567,gaiadr3,4183919237232621056,y,8.07,0.04,0.04,19550,250,250,2020NatAs...4.1102M,0.66,0.02,0.02,91.0,11.0,7.0,8700,200,200,1.58,0.02,0.07,2026ApJ...996...69M,Gaia DR3 4183919237232621056,,R147-WD04
Ruprecht147-WD-J191801-154956,Ruprecht 147,289.507038,-15.83229,gaiadr3,4184169822810795648,y,8.08,0.04,0.04,17950,250,250,2020NatAs...4.1102M,0.67,0.02,0.02,133.0,11.0,11.0,8600,200,200,1.59,0.02,0.07,2026ApJ...996...69M,Gaia DR3 4184169822810795648,Ruprecht 147 WD2,R147-WD10
Ruprecht147-WD-J191844-155356,Ruprecht 147,289.684406,-15.898907,gaiadr3,4183978061110910592,y,8.11,0.05,0.05,13000,200,200,2020NatAs...4.1102M,0.67,0.03,0.03,400.0,20.0,30.0,8300,300,300,1.64,0.03,0.08,2026ApJ...996...69M,Gaia DR3 4183978061110910592,,R147-WD08
Stock1-WD-J193722+250852,Stock 1,294.342617,25.14805,gaiadr3,2021451685334449152,y,8.52,0.04,0.04,18900,200,200,2026ApJ...996...69M,0.94,0.03,0.03,253.0,19.0,17.0,6200,200,200,4.05,0.3,0.19,2026ApJ...996...69M,Gaia DR3 2021451685334449152,Stock 1,
Stock12-WD-J232937+524437,Stock 12,352.40646,52.743846,gaiadr3,1992469104239732096,y,8.5,0.04,0.04,31600,200,200,2021ApJ...912..165R,0.95,0.02,0.02,33.0,6.0,6.0,6300,200,200,3.98,0.1,0.31,2026ApJ...996...69M,Gaia DR3 1992469104239732096,Stock 12,Stock 12
Stock2-WD-J015413+610222,Stock 2,28.558301,61.039474,gaiadr3,508276703371724928,y,8.355,0.019,0.019,20550,170,170,2026ApJ...996...69M,0.841,0.012,0.012,143.0,5.0,5.0,7020,100,100,3.46,0.07,0.09,2026ApJ...996...69M,Gaia DR3  508276703371724928,Stock 2 WD9,
Stock2-WD-J015909+600629,Stock 2,29.789553,60.10826,gaiadr3,507899399087944320,y,8.58,0.03,0.03,19900,200,200,2026ApJ...996...69M,0.981,0.018,0.018,243.0,12.0,13.0,5860,150,150,4.04,0.16,0.19,2026ApJ...996...69M,Gaia DR3  507899399087944320,Stock 2 WD10,
Stock2-WD-J020520+592113,Stock 2,31.334334,59.353629,gaiadr3,507054806657042944,y,8.4,0.03,0.03,20200,200,200,2026ApJ...996...69M,0.869,0.019,0.019,168.0,9.0,11.0,6780,160,160,3.57,0.09,0.11,2026ApJ...996...69M,Gaia DR3  507054806657042944,Stock 2 WD3,
Stock2-WD-J020940+593149,Stock 2,32.418725,59.530497,gaiadr3,507119265523387136,y,8.5,0.02,0.02,19270,150,150,2026ApJ...996...69M,0.931,0.013,0.013,231.0,7.0,8.0,6250,100,100,3.94,0.12,0.16,2026ApJ...996...69M,Gaia DR3  507119265523387136,Stock 2 WD4,
Stock2-WD-J021049+594518,Stock 2,32.704823,59.755014,gaiadr3,507128332197081344,y,8.21,0.03,0.03,20000,200,200,2026ApJ...996...69M,0.749,0.019,0.019,114.0,10.0,4.0,7830,170,170,3.34,0.07,0.08,2026ApJ...996...69M,Gaia DR3  507128332197081344,Stock 2 WD7,
Stock2-WD-J021413+590413,Stock 2,33.555025,59.070356,gaiadr3,506862078583709056,y,8.58,0.05,0.05,24900,400,400,2021ApJ...912..165R,0.99,0.03,0.03,121.0,14.0,13.0,7300,300,200,3.37,0.08,0.09,2026ApJ...996...69M,Gaia DR3  506862078583709056,Stock 2 WD1,Stock 2
Stock2-WD-J021836+582442,Stock 2,34.653607,58.411842,gaiadr3,458778927573447168,y,8.34,0.02,0.02,24190,180,180,2026ApJ...996...69M,0.837,0.013,0.013,74.0,4.0,4.0,7130,110,110,3.21,0.05,0.07,2026ApJ...996...69M,Gaia DR3  458778927573447168,Stock 2 WD8,
Stock2-WD-J022826+593222,Stock 2,37.112447,59.539679,gaiadr3,459270649787942784,y,8.527,0.018,0.018,22710,170,170,2026ApJ...996...69M,0.952,0.011,0.011,146.0,6.0,5.0,6130,90,90,3.48,0.07,0.1,2026ApJ...996...69M,Gaia DR3  459270649787942784,Stock 2 WD5,
Theia248-WD-J213550+540630,Theia 248,323.961514,54.108338,gaiadr3,2174431990805230208,y,8.21,0.03,0.03,27250,170,170,2026ApJ...996...69M,0.762,0.018,0.018,24.0,3.0,3.0,7900,180,180,3.01,0.03,0.04,2026ApJ...996...69M,Gaia DR3 2174431990805230208,Theia 248,
Theia517-WD-J212659+484455,Theia 517,321.7486,48.748659,gaiadr3,2170776080281869056,y,8.54,0.04,0.04,18400,300,300,2020ApJ...901L..14C,0.96,0.02,0.03,282.0,22.0,18.0,6000,200,200,4.8,0.4,0.5,2026ApJ...996...69M,Gaia DR3 2170776080281869056,Theia 517,M39
Theia817-WD-J182407+224706,Theia 817,276.033085,22.785015,gaiadr3,4530122390454022272,y,8.55,0.03,0.03,27650,170,170,2026ApJ...996...69M,0.971,0.018,0.018,77.0,6.0,7.0,6030,150,150,3.87,0.16,0.1,2026ApJ...996...69M,Gaia DR3 4530122390454022272,Theia 817,
UPK303-WD-J023931+415825,UPK 303,39.88277,41.9737,gaiadr3,337013370615249408,y,8.71,0.02,0.02,31530,100,100,2026ApJ...996...69M,1.06,0.007,0.007,67.4,2.0,1.9,5250,100,100,4.02,0.12,0.21,2026ApJ...996...69M,Gaia DR3  337013370615249408,UPK 303,
